generation,mean_fitness
0,33.85
1,34.09
2,41.42
3,45.95
4,47.77
5,51.76
6,57.61
7,59.28
8,63.09
9,72.7
10,77.47
11,81.03
12,84.65
13,148.46
14,150.68
15,154.42
16,212.61
17,215.32
18,218.84
19,219.94
20,220.96
21,225.41
22,228.52
23,229.98
24,230.72
25,234.07
26,235.13
27,237.88
28,293.38
29,293.41
30,293.46
31,296.21
32,296.62
33,297.48
34,298.34
35,298.35
36,298.55
37,317.54
38,317.57
39,317.91
40,318.89
41,374.98
42,375.06
43,375.52
44,376.42
45,376.46
46,377.4
47,377.4
48,378.78
49,379.47
50,381.27
51,381.63
52,382.94
53,400.59
54,455.82
55,455.88
56,456.24
57,466.89
58,486.56
59,486.56
60,488.61
61,489.0
62,489.07
63,489.98
64,489.98
65,489.98
66,490.69
67,491.05
68,491.07
69,491.07
70,492.59
71,492.81
72,549.07
73,549.14
74,549.54
75,550.65
76,550.71
77,550.96
78,551.35
79,606.75
80,606.8
81,661.62
82,661.72
83,661.72
84,663.94
85,664.02
86,664.29
87,666.03
88,666.03
89,666.38
90,666.4
91,666.43
92,667.2
93,667.2
94,667.41
95,669.26
96,669.88
97,669.88
98,669.91
99,725.51
