generation,mean_fitness
0,32.84
1,36.59
2,38.81
3,40.83
4,41.11
5,43.18
6,54.49
7,56.79
8,58.69
9,60.75
10,61.66
11,118.15
12,134.08
13,191.98
14,195.92
15,197.97
16,198.89
17,199.07
18,257.86
19,257.91
20,267.47
21,268.56
22,270.8
23,270.91
24,273.69
25,274.43
26,278.65
27,284.37
28,342.16
29,342.75
30,344.77
31,347.8
32,398.17
33,399.27
34,455.3
35,457.5
36,458.79
37,570.43
38,748.02
39,842.27
40,898.91
41,965.13
42,966.47
43,1022.08
44,1133.26
45,1135.31
46,1202.26
47,1202.26
48,1248.79
49,1312.13
50,1384.62
51,1387.57
52,1388.27
53,1391.98
54,1422.99
55,1454.4
56,1573.96
57,1678.25
58,1753.31
59,1774.17
60,1822.2
61,1874.58
62,1930.93
63,2061.08
64,2139.72
65,2195.19
66,2370.57
67,2426.87
68,2620.96
69,2622.46
70,2680.88
71,2680.91
72,2801.89
73,2843.14
74,2846.22
75,2961.63
76,2983.89
77,3130.47
78,3130.47
79,3157.45
80,3179.51
81,3183.21
82,3221.26
83,3221.26
84,3331.16
85,3384.44
86,3384.44
87,3439.88
88,3493.1
89,3493.1
90,3548.23
91,3596.46
92,3596.46
93,3596.46
94,3647.87
95,3653.15
96,3703.82
97,3755.55
98,3755.79
99,3811.79
