generation,mean_fitness
0,36.66
1,43.96
2,50.12
3,53.59
4,116.24
5,128.96
6,211.19
7,269.59
8,273.51
9,292.91
10,296.42
11,356.55
12,427.84
13,515.59
14,520.32
15,524.25
16,525.91
17,636.85
18,642.93
19,752.05
20,844.63
21,886.65
22,970.17
23,1081.26
24,1137.43
25,1213.53
26,1320.27
27,1376.87
28,1497.82
29,1561.4
30,1618.41
31,1682.12
32,1857.27
33,1885.08
34,1885.59
35,1892.96
36,1947.45
37,2047.75
38,2178.04
39,2233.1
40,2349.51
41,2493.05
42,2549.54
43,2660.14
44,2716.89
45,2888.15
46,2909.97
47,2910.29
48,3132.01
49,3278.76
50,3446.02
51,3465.35
52,3465.4
53,3633.92
54,3677.16
55,3830.38
56,3842.43
57,3966.6
58,4024.04
59,4077.23
60,4082.03
61,4138.92
62,4379.46
63,4597.39
64,4651.71
65,4652.18
66,4708.02
67,4858.64
68,4890.75
69,4920.76
70,4920.76
71,4921.89
72,4982.13
73,4982.13
74,5054.97
75,5059.97
76,5092.02
77,5117.56
78,5117.56
79,5164.12
80,5184.99
81,5185.68
82,5240.01
83,5291.86
84,5291.86
85,5347.05
86,5348.44
87,5382.76
88,5382.76
89,5410.44
90,5459.68
91,5459.68
92,5459.68
93,5459.68
94,5460.09
95,5460.09
96,5460.09
97,5480.45
98,5495.53
99,5550.62
