generation,mean_fitness
0,94.63
1,99.16
2,105.29
3,169.51
4,175.98
5,183.63
6,245.42
7,249.08
8,254.84
9,259.02
10,262.02
11,320.49
12,376.68
13,380.06
14,382.5
15,390.08
16,394.19
17,454.23
18,454.54
19,456.1
20,511.75
21,513.49
22,527.84
23,528.76
24,529.47
25,529.72
26,586.37
27,587.39
28,588.26
29,588.56
30,588.56
31,698.97
32,699.34
33,699.71
34,699.93
35,701.1
36,704.46
37,761.17
38,764.83
39,765.4
40,765.47
41,765.5
42,765.55
43,765.67
44,765.67
45,821.38
46,823.04
47,823.68
48,879.14
49,879.54
50,879.54
51,934.75
52,990.83
53,990.87
54,990.91
55,1046.51
56,1099.2
57,1099.99
58,1155.52
59,1156.21
60,1156.21
61,1211.63
62,1339.97
63,1342.39
64,1343.41
65,1343.6
66,1344.38
67,1346.67
68,1349.22
69,1349.44
70,1349.85
71,1349.85
72,1370.09
73,1370.09
74,1370.43
75,1370.5
76,1370.52
77,1425.7
78,1425.71
79,1425.71
80,1438.29
81,1438.29
82,1438.37
83,1438.37
84,1438.37
85,1438.37
86,1440.72
87,1440.72
88,1440.94
89,1440.94
90,1440.94
91,1440.94
92,1495.63
93,1495.99
94,1551.16
95,1551.16
96,1606.38
97,1606.78
98,1606.78
99,1606.78
100,1606.78
101,1662.27
102,1662.58
103,1662.58
104,1718.0
105,1772.49
106,1772.49
107,1819.9
108,1820.39
109,1820.39
110,1820.39
111,1820.41
112,1820.41
113,1820.41
114,1820.41
115,1820.41
116,1829.68
117,1829.68
118,1829.68
119,1829.68
120,1889.2
121,1889.24
122,1889.24
123,1944.73
124,1945.01
125,2000.4
126,2000.4
127,2000.4
128,2056.01
129,2056.4
130,2111.57
131,2111.57
132,2111.57
133,2111.57
134,2111.57
135,2111.57
136,2165.98
137,2166.12
138,2166.12
139,2166.12
140,2166.12
141,2166.12
142,2173.34
143,2229.91
144,2229.91
145,2300.74
146,2300.74
147,2300.74
148,2300.74
149,2300.74
150,2300.74
151,2300.74
152,2300.74
153,2300.95
154,2356.18
155,2356.18
156,2356.18
157,2356.18
158,2356.21
159,2356.21
160,2356.47
161,2356.53
162,2356.55
163,2356.55
164,2356.55
165,2356.55
166,2405.35
167,2405.35
168,2405.35
169,2460.58
170,2460.58
171,2461.2
172,2461.2
173,2516.66
174,2516.7
175,2516.7
176,2554.99
177,2554.99
178,2554.99
179,2556.28
180,2556.28
181,2556.28
182,2556.28
183,2587.56
184,2592.15
185,2592.15
186,2592.15
187,2592.15
188,2592.17
189,2592.17
190,2592.17
191,2592.17
192,2592.17
193,2592.17
194,2592.17
195,2646.59
196,2646.59
197,2646.59
198,2646.6
199,2646.6
200,2646.6
201,2646.6
202,2646.6
203,2702.03
204,2702.07
205,2702.07
206,2702.07
207,2702.07
208,2702.07
209,2702.23
210,2702.23
211,2705.96
212,2757.5
213,2757.5
214,2757.5
215,2781.35
216,2836.42
217,2836.42
218,2836.42
219,2836.42
220,2838.4
221,2838.4
222,2838.4
223,2838.4
224,2846.15
225,2846.15
226,2901.19
227,2901.19
228,2901.38
229,2901.49
230,2901.49
231,2901.49
232,2903.54
233,2903.54
234,2903.54
235,2903.54
236,2903.54
237,2903.54
238,2903.54
239,2903.54
240,2903.54
241,2954.88
242,2954.88
243,2954.88
244,2955.97
245,2955.97
246,2955.97
247,2955.97
248,2955.97
249,2955.97
250,2955.97
251,2955.97
252,2955.97
253,2955.97
254,2955.97
255,2955.97
256,2956.06
257,2965.46
258,2965.46
259,2965.46
260,3020.63
261,3020.63
262,3020.63
263,3020.63
264,3020.63
265,3020.82
266,3020.82
267,3020.82
268,3031.55
269,3031.55
270,3031.55
271,3031.55
272,3031.55
273,3031.55
274,3031.55
275,3031.55
276,3031.55
277,3031.55
278,3031.96
279,3031.96
280,3031.96
281,3031.96
282,3031.96
283,3031.96
284,3031.96
285,3031.96
286,3031.96
287,3032.06
288,3032.06
289,3032.06
290,3032.06
291,3032.42
292,3032.42
293,3032.42
294,3032.42
295,3032.42
296,3032.42
297,3032.42
298,3084.32
299,3084.32
