generation,mean_fitness
0,92.22
1,95.32
2,100.81
3,161.23
4,222.74
5,229.64
6,236.05
7,245.3
8,304.09
9,364.03
10,370.61
11,537.54
12,595.63
13,596.97
14,657.52
15,882.99
16,886.05
17,886.63
18,914.21
19,977.7
20,979.39
21,987.09
22,989.3
23,1103.06
24,1150.75
25,1201.3
26,1340.34
27,1457.5
28,1458.81
29,1581.4
30,1636.88
31,1653.65
32,1657.27
33,1664.72
34,1667.7
35,1674.26
36,1820.6
37,1873.08
38,1949.48
39,2071.48
40,2256.85
41,2300.27
42,2390.52
43,2506.96
44,2668.62
45,2693.7
46,2751.4
47,2877.15
48,2970.07
49,3037.12
50,3087.97
51,3113.69
52,3202.99
53,3251.26
54,3286.84
55,3286.84
56,3342.22
57,3359.92
58,3422.76
59,3461.63
60,3533.5
61,3554.41
62,3631.9
63,3667.83
64,3672.3
65,3680.95
66,3736.43
67,3872.35
68,3927.83
69,4020.28
70,4049.62
71,4137.53
72,4176.71
73,4191.07
74,4191.07
75,4274.07
76,4318.9
77,4371.88
78,4479.56
79,4480.37
80,4536.34
81,4637.27
82,4728.27
83,4790.76
84,4790.76
85,4798.17
86,4798.17
87,4906.31
88,5034.68
89,5036.82
90,5120.31
91,5120.31
92,5120.31
93,5194.25
94,5240.63
95,5240.63
96,5240.63
97,5295.06
98,5295.82
99,5336.92
100,5336.92
101,5337.64
102,5337.64
103,5337.64
104,5337.64
105,5337.66
106,5337.66
107,5337.66
108,5337.66
109,5337.66
110,5337.66
111,5337.66
112,5337.99
113,5337.99
114,5337.99
115,5338.03
116,5393.29
117,5393.29
118,5393.29
119,5394.07
120,5396.26
121,5404.21
122,5406.76
123,5406.76
124,5458.17
125,5511.13
126,5511.13
127,5511.13
128,5511.13
129,5561.55
130,5561.55
131,5561.55
132,5561.55
133,5561.55
134,5561.55
135,5562.3
136,5564.88
137,5564.88
138,5564.88
139,5569.33
140,5569.33
141,5569.33
142,5569.33
143,5611.99
144,5616.8
145,5616.8
146,5616.8
147,5616.8
148,5616.8
149,5659.0
150,5659.0
151,5659.0
152,5659.0
153,5659.0
154,5659.0
155,5659.0
156,5659.0
157,5659.0
158,5659.0
159,5659.0
160,5659.0
161,5659.0
162,5659.0
163,5659.0
164,5659.0
165,5659.0
166,5659.0
167,5659.0
168,5659.0
169,5659.0
170,5659.0
171,5659.0
172,5659.0
173,5659.0
174,5659.0
175,5659.0
176,5659.0
177,5659.0
178,5659.0
179,5659.0
180,5659.0
181,5659.0
182,5659.0
183,5659.0
184,5659.0
185,5659.0
186,5659.0
187,5659.0
188,5659.0
189,5659.0
190,5659.0
191,5659.0
192,5659.0
193,5659.0
194,5659.0
195,5659.0
196,5659.0
197,5659.0
198,5659.0
199,5659.0
200,5659.0
201,5659.0
202,5659.0
203,5659.0
204,5659.0
205,5659.0
206,5659.0
207,5659.0
208,5659.0
209,5659.0
210,5659.0
211,5659.0
212,5659.0
213,5659.0
214,5659.0
215,5659.0
216,5659.0
217,5659.0
218,5659.0
219,5659.0
220,5659.0
221,5659.0
222,5659.0
223,5659.0
224,5659.0
225,5659.0
226,5659.0
227,5659.0
228,5659.0
229,5659.0
230,5659.0
231,5659.0
232,5659.0
233,5659.0
234,5659.0
235,5659.0
236,5659.0
237,5659.0
238,5659.0
239,5659.0
240,5659.0
241,5659.0
242,5659.0
243,5659.0
244,5659.0
245,5659.0
246,5659.0
247,5659.0
248,5659.0
249,5659.0
250,5659.0
251,5659.0
252,5659.0
253,5659.0
254,5659.0
255,5659.0
256,5659.0
257,5659.0
258,5659.0
259,5659.0
260,5659.0
261,5659.0
262,5659.0
263,5659.0
264,5659.0
265,5659.0
266,5659.0
267,5659.0
268,5659.0
269,5659.0
270,5659.0
271,5659.0
272,5659.0
273,5659.0
274,5659.0
275,5659.0
276,5659.0
277,5659.0
278,5659.0
279,5659.0
280,5659.0
281,5659.0
282,5659.0
283,5659.0
284,5659.0
285,5659.0
286,5659.0
287,5659.0
288,5659.0
289,5659.0
290,5659.0
291,5659.0
292,5659.0
293,5659.0
294,5659.0
295,5659.0
296,5659.0
297,5659.0
298,5659.0
299,5659.0
