generation,mean_fitness
0,36.6
1,49.23
2,59.35
3,71.78
4,77.24
5,85.99
6,147.78
7,262.96
8,268.19
9,272.8
10,331.81
11,332.53
12,390.62
13,396.06
14,399.3
15,408.29
16,414.24
17,414.98
18,420.96
19,421.41
20,477.94
21,478.89
22,479.03
23,479.37
24,480.81
25,481.02
26,482.02
27,483.08
28,483.08
29,485.37
30,541.51
31,600.55
32,600.94
33,664.32
34,679.06
35,734.51
36,783.02
37,783.02
38,839.21
39,844.07
40,895.46
41,926.55
42,927.07
43,927.57
44,965.93
45,966.26
46,966.42
47,1022.0
48,1022.0
49,1049.68
50,1051.55
51,1051.56
52,1107.35
53,1107.35
54,1107.59
55,1108.24
56,1136.89
57,1136.89
58,1137.24
59,1137.24
60,1137.24
61,1139.54
62,1139.54
63,1249.83
64,1306.07
65,1306.16
66,1306.16
67,1306.27
68,1306.27
69,1307.89
70,1307.89
71,1308.16
72,1308.16
73,1363.34
74,1363.38
75,1363.38
76,1363.38
77,1363.38
78,1363.42
79,1363.42
80,1363.42
81,1363.42
82,1363.47
83,1363.47
84,1363.47
85,1363.47
86,1363.82
87,1363.82
88,1380.63
89,1380.83
90,1380.83
91,1381.06
92,1381.38
93,1387.73
94,1387.96
95,1393.04
96,1393.04
97,1393.04
98,1393.04
99,1393.05
100,1393.05
101,1393.05
102,1393.05
103,1393.05
104,1396.93
105,1396.93
106,1396.93
107,1396.93
108,1396.93
109,1397.96
110,1397.96
111,1397.96
112,1398.21
113,1398.21
114,1398.21
115,1398.21
116,1398.21
117,1398.21
118,1398.45
119,1398.45
120,1398.63
121,1398.63
122,1398.63
123,1398.86
124,1399.86
125,1399.86
126,1487.2
127,1487.2
128,1487.2
129,1487.26
130,1487.26
131,1487.26
132,1487.35
133,1487.59
134,1487.61
135,1487.66
136,1544.18
137,1559.58
138,1559.58
139,1559.82
140,1560.04
141,1560.04
142,1560.04
143,1651.63
144,1651.63
145,1651.63
146,1651.63
147,1651.63
148,1651.89
149,1651.89
150,1652.62
151,1653.21
152,1654.37
153,1654.37
154,1654.64
155,1706.47
156,1706.47
157,1706.47
158,1706.47
159,1707.32
160,1707.32
161,1762.49
162,1762.5
163,1762.55
164,1762.55
165,1818.22
166,1818.22
167,1896.04
168,1896.04
169,1898.5
170,1903.02
171,1903.32
172,1903.51
173,1903.51
174,1903.72
175,1906.82
176,1906.82
177,1909.01
178,1909.01
179,1909.01
180,1909.01
181,1909.37
182,1944.81
183,1999.97
184,2056.99
185,2057.84
186,2113.0
187,2113.06
188,2113.06
189,2113.66
190,2113.66
191,2113.66
192,2166.16
193,2166.16
194,2166.16
195,2221.23
196,2221.23
197,2221.64
198,2221.64
199,2222.05
200,2222.89
201,2222.89
202,2272.87
203,2272.87
204,2272.87
205,2272.87
206,2272.87
207,2272.87
208,2272.87
209,2273.1
210,2327.76
211,2327.76
212,2327.76
213,2327.76
214,2327.76
215,2327.76
216,2327.76
217,2328.13
218,2328.13
219,2328.13
220,2328.13
221,2328.13
222,2382.65
223,2382.65
224,2382.99
225,2437.85
226,2438.58
227,2438.58
228,2438.58
229,2438.58
230,2438.58
231,2457.84
232,2457.84
233,2512.66
234,2568.06
235,2568.06
236,2623.22
237,2623.22
238,2623.22
239,2623.22
240,2623.22
241,2623.22
242,2623.22
243,2623.22
244,2623.23
245,2623.35
246,2623.35
247,2623.35
248,2623.35
249,2623.35
250,2623.35
251,2623.35
252,2633.46
253,2633.46
254,2633.48
255,2633.48
256,2633.48
257,2633.49
258,2633.49
259,2687.82
260,2687.82
261,2687.82
262,2687.82
263,2694.38
264,2694.38
265,2694.38
266,2694.38
267,2694.38
268,2694.38
269,2742.13
270,2792.05
271,2792.05
272,2792.05
273,2792.05
274,2813.59
275,2855.29
276,2855.29
277,2855.29
278,2855.29
279,2855.29
280,2855.29
281,2855.29
282,2910.11
283,2981.66
284,2981.69
285,3000.7
286,3002.0
287,3002.0
288,3002.0
289,3002.0
290,3002.0
291,3002.0
292,3002.0
293,3002.0
294,3002.0
295,3002.0
296,3002.0
297,3057.68
298,3057.68
299,3057.68
