generation,mean_fitness
0,54.63
1,58.12
2,68.28
3,109.33
4,117.85
5,124.5
6,129.8
7,133.24
8,138.53
9,237.92
10,240.38
11,244.17
12,246.02
13,302.29
14,302.94
15,305.26
16,308.53
17,310.56
18,310.96
19,310.96
20,311.44
21,314.18
22,316.52
23,372.21
24,375.44
25,407.15
26,465.0
27,465.57
28,465.57
29,465.65
30,466.07
31,522.69
32,523.16
33,523.47
34,524.27
35,525.16
36,556.79
37,557.46
38,617.32
39,621.39
40,622.29
41,622.65
42,631.28
43,631.72
44,641.09
45,641.37
46,641.69
47,641.69
48,642.37
49,643.84
50,643.84
51,644.53
52,655.65
53,664.78
54,665.44
55,666.49
56,666.49
57,666.49
58,666.75
59,666.75
60,666.75
61,667.66
62,667.74
63,667.74
64,668.38
65,723.82
66,756.03
67,756.62
68,756.85
69,773.18
70,773.18
71,812.76
72,812.85
73,814.01
74,814.02
75,814.02
76,814.02
77,870.9
78,870.9
79,955.2
80,955.43
81,956.19
82,1010.63
83,1010.66
84,1010.67
85,1066.11
86,1066.11
87,1066.68
88,1066.68
89,1066.7
90,1066.7
91,1121.54
92,1121.54
93,1121.54
94,1121.54
95,1122.23
96,1177.21
97,1235.12
98,1235.15
99,1235.15
100,1235.25
101,1235.25
102,1235.25
103,1346.1
104,1346.1
105,1346.1
106,1346.47
107,1346.47
108,1346.47
109,1405.22
110,1405.22
111,1406.2
112,1406.2
113,1407.72
114,1414.45
115,1414.7
116,1470.14
117,1525.23
118,1525.23
119,1525.23
120,1525.23
121,1525.26
122,1580.42
123,1580.42
124,1636.22
125,1636.22
126,1636.22
127,1636.25
128,1636.25
129,1636.25
130,1636.25
131,1636.25
132,1660.3
133,1660.3
134,1715.69
135,1715.69
136,1715.69
137,1715.69
138,1745.66
139,1745.66
140,1745.66
141,1746.49
142,1802.01
143,1802.01
144,1802.01
145,1802.01
146,1844.57
147,1876.03
148,1876.73
149,1876.73
150,1876.73
151,1876.73
152,1876.74
153,1876.74
154,1876.74
155,1931.48
156,1931.48
157,1932.18
158,1932.18
159,1932.18
160,1933.29
161,1933.29
162,1988.14
163,1992.32
164,1992.6
165,2048.13
166,2048.13
167,2048.13
168,2048.17
169,2048.17
170,2048.17
171,2051.85
172,2051.95
173,2051.95
174,2051.95
175,2106.26
176,2106.26
177,2106.26
178,2109.2
179,2109.2
180,2109.2
181,2109.2
182,2211.37
183,2211.37
184,2212.47
185,2212.71
186,2212.71
187,2212.97
188,2268.4
189,2276.76
190,2276.78
191,2276.78
192,2276.78
193,2277.06
194,2277.06
195,2277.06
196,2277.06
197,2277.06
198,2277.06
199,2331.86
200,2332.92
201,2332.92
202,2338.45
203,2384.69
204,2384.93
205,2384.93
206,2384.93
207,2384.93
208,2384.93
209,2431.23
210,2431.23
211,2431.23
212,2431.23
213,2432.38
214,2432.38
215,2432.38
216,2432.38
217,2432.55
218,2432.62
219,2432.62
220,2432.63
221,2432.63
222,2432.63
223,2432.63
224,2486.7
225,2486.7
226,2486.7
227,2486.7
228,2486.7
229,2487.4
230,2487.4
231,2488.14
232,2488.14
233,2488.14
234,2488.14
235,2488.14
236,2488.14
237,2488.14
238,2488.47
239,2488.47
240,2488.47
241,2488.47
242,2496.87
243,2496.87
244,2496.87
245,2551.66
246,2551.66
247,2551.66
248,2552.09
249,2552.09
250,2552.09
251,2552.09
252,2552.11
253,2552.11
254,2552.11
255,2552.11
256,2552.11
257,2552.11
258,2552.11
259,2552.11
260,2552.11
261,2552.11
262,2607.57
263,2607.57
264,2607.57
265,2607.57
266,2607.57
267,2607.57
268,2607.57
269,2607.57
270,2608.05
271,2608.05
272,2608.05
273,2608.05
274,2608.05
275,2608.05
276,2608.45
277,2608.45
278,2608.45
279,2608.45
280,2608.45
281,2608.45
282,2609.14
283,2609.14
284,2609.14
285,2662.83
286,2662.86
287,2662.86
288,2662.86
289,2662.86
290,2662.86
291,2662.86
292,2662.86
293,2662.86
294,2664.6
295,2664.6
296,2664.6
297,2664.6
298,2664.6
299,2664.6
