generation,mean_fitness
0,96.9
1,99.54
2,155.33
3,162.47
4,165.99
5,175.07
6,184.58
7,190.99
8,230.28
9,235.28
10,241.74
11,300.55
12,361.18
13,422.03
14,423.58
15,425.3
16,428.26
17,431.51
18,488.6
19,544.96
20,612.45
21,726.3
22,945.71
23,963.86
24,1133.75
25,1185.67
26,1243.03
27,1298.15
28,1317.96
29,1319.25
30,1456.69
31,1524.6
32,1576.84
33,1689.78
34,1748.01
35,1804.22
36,1806.1
37,1920.65
38,1924.49
39,1975.64
40,2030.81
41,2056.93
42,2122.49
43,2184.49
44,2238.19
45,2289.74
46,2395.72
47,2536.87
48,2714.71
49,2714.93
50,2771.63
51,2852.95
52,2887.84
53,2933.3
54,2986.4
55,2986.43
56,3088.26
57,3151.49
58,3151.78
59,3193.98
60,3211.05
61,3237.35
62,3362.3
63,3465.02
64,3465.02
65,3465.05
66,3552.09
67,3593.19
68,3593.19
69,3648.77
70,3790.65
71,3798.1
72,3851.08
73,3911.92
74,4035.03
75,4058.64
76,4123.64
77,4138.1
78,4189.36
79,4228.6
80,4239.37
81,4239.44
82,4375.99
83,4375.99
84,4375.99
85,4375.99
86,4375.99
87,4375.99
88,4430.85
89,4483.05
90,4593.36
91,4648.71
92,4764.82
93,4815.83
94,4815.83
95,4871.7
96,4871.7
97,4920.07
98,4920.07
99,4944.13
100,4944.13
101,4944.13
102,4944.13
103,4944.13
104,4985.94
105,4986.3
106,4986.3
107,4986.3
108,5040.01
109,5040.01
110,5040.01
111,5040.01
112,5040.01
113,5040.01
114,5092.98
115,5092.98
116,5099.69
117,5100.04
118,5154.74
119,5154.74
120,5155.86
121,5155.86
122,5210.3
123,5210.3
124,5210.3
125,5210.3
126,5210.3
127,5264.69
128,5279.14
129,5279.14
130,5279.14
131,5279.14
132,5334.29
133,5334.29
134,5334.29
135,5334.29
136,5334.29
137,5334.29
138,5334.29
139,5334.29
140,5334.29
141,5334.29
142,5334.29
143,5334.29
144,5334.29
145,5334.29
146,5334.29
147,5334.67
148,5334.67
149,5334.67
150,5334.67
151,5334.67
152,5334.67
153,5388.26
154,5388.26
155,5388.26
156,5388.26
157,5388.26
158,5388.26
159,5388.26
160,5388.26
161,5441.1
162,5441.1
163,5441.19
164,5441.19
165,5441.19
166,5491.86
167,5491.86
168,5491.86
169,5491.86
170,5491.86
171,5491.86
172,5491.86
173,5491.86
174,5491.86
175,5491.86
176,5523.22
177,5523.22
178,5523.22
179,5577.22
180,5577.22
181,5577.22
182,5588.81
183,5630.9
184,5630.9
185,5630.9
186,5630.9
187,5654.24
188,5654.24
189,5654.24
190,5654.24
191,5654.24
192,5654.24
193,5654.24
194,5654.24
195,5654.24
196,5654.24
197,5654.24
198,5654.24
199,5654.24
200,5654.24
201,5654.24
202,5654.24
203,5654.24
204,5654.24
205,5654.24
206,5654.24
207,5654.24
208,5654.24
209,5654.24
210,5654.24
211,5654.24
212,5654.24
213,5654.24
214,5654.24
215,5654.24
216,5659.0
217,5659.0
218,5659.0
219,5659.0
220,5659.0
221,5659.0
222,5659.0
223,5659.0
224,5659.0
225,5659.0
226,5659.0
227,5659.0
228,5659.0
229,5659.0
230,5659.0
231,5659.0
232,5659.0
233,5659.0
234,5659.0
235,5659.0
236,5659.0
237,5659.0
238,5659.0
239,5659.0
240,5659.0
241,5659.0
242,5659.0
243,5659.0
244,5659.0
245,5659.0
246,5659.0
247,5659.0
248,5659.0
249,5659.0
250,5659.0
251,5659.0
252,5659.0
253,5659.0
254,5659.0
255,5659.0
256,5659.0
257,5659.0
258,5659.0
259,5659.0
260,5659.0
261,5659.0
262,5659.0
263,5659.0
264,5659.0
265,5659.0
266,5659.0
267,5659.0
268,5659.0
269,5659.0
270,5659.0
271,5659.0
272,5659.0
273,5659.0
274,5659.0
275,5659.0
276,5659.0
277,5659.0
278,5659.0
279,5659.0
280,5659.0
281,5659.0
282,5659.0
283,5659.0
284,5659.0
285,5659.0
286,5659.0
287,5659.0
288,5659.0
289,5659.0
290,5659.0
291,5659.0
292,5659.0
293,5659.0
294,5659.0
295,5659.0
296,5659.0
297,5659.0
298,5659.0
299,5659.0
