generation,mean_fitness
0,32.005
1,33.25
2,34.595
3,37.05
4,39.315
5,44.815
6,47.23
7,50.385
8,54.64
9,56.28
10,59.065
11,62.6
12,63.22
13,67.06
14,68.31
15,74.35
16,77.365
17,80.8
18,85.945
19,87.455
20,88.675
21,91.67
22,95.235
23,97.79
24,99.29
25,101.02
26,102.775
27,104.36
28,106.755
29,109.165
30,110.24
31,110.88
32,112.66
33,114.085
34,115.92
35,116.065
36,118.315
37,119.795
38,121.59
39,124.24
40,125.19
41,125.875
42,127.195
43,127.73
44,133.89
45,135.335
46,138.58
47,139.745
48,142.21
49,142.25
50,143.66
51,148.285
52,149.03
53,150.5
54,152.22
55,153.04
56,154.945
57,155.3
58,155.54
59,156.82
60,157.875
61,158.34
62,159.775
63,161.35
64,166.925
65,169.185
66,169.925
67,172.81
68,173.305
69,174.025
70,175.935
71,179.24
72,180.765
73,181.24
74,182.245
75,183.395
76,184.89
77,185.29
78,186.88
79,187.38
80,190.075
81,191.13
82,194.67
83,197.82
84,198.08
85,201.65
86,202.43
87,204.355
88,205.405
89,208.935
90,211.79
91,213.07
92,214.44
93,215.145
94,216.735
95,219.805
96,220.415
97,222.33
98,222.345
99,222.66
100,224.3
101,225.77
102,226.09
103,228.1
104,228.685
105,229.84
106,229.96
107,230.83
108,231.715
109,232.96
110,233.155
111,237.75
112,239.06
113,239.825
114,243.04
115,244.69
116,245.645
117,246.675
118,253.325
119,253.6
120,254.155
121,255.51
122,255.93
123,257.915
124,259.355
125,259.55
126,259.73
127,261.185
128,261.645
129,264.56
130,264.89
131,264.925
132,265.625
133,267.15
134,268.655
135,269.27
136,272.205
137,272.53
138,276.095
139,277.39
140,277.395
141,279.31
142,279.93
143,280.87
144,282.075
145,284.615
146,284.965
147,287.675
148,290.06
149,290.25
150,290.395
151,305.46
152,306.675
153,308.7
154,309.125
155,310.705
156,313.01
157,313.04
158,314.975
159,315.075
160,317.79
161,319.38
162,319.52
163,320.655
164,320.96
165,321.235
166,324.295
167,328.475
168,328.675
169,328.84
170,328.84
171,329.74
172,331.295
173,332.975
174,336.96
175,337.51
176,339.96
177,340.345
178,341.62
179,342.355
180,346.445
181,348.115
182,348.285
183,348.655
184,349.015
185,354.72
186,355.285
187,357.875
188,358.75
189,359.385
190,360.42
191,360.42
192,360.46
193,360.655
194,362.76
195,367.39
196,373.285
197,375.67
198,375.815
199,376.94
200,379.02
201,382.22
202,382.22
203,383.37
204,385.53
205,385.77
206,385.775
207,386.015
208,386.3
209,386.3
210,386.465
211,388.59
212,391.415
213,391.455
214,393.875
215,394.285
216,396.05
217,397.435
218,397.435
219,400.88
220,401.21
221,401.21
222,402.965
223,403.355
224,403.355
225,403.685
226,404.095
227,404.095
228,404.455
229,405.015
230,409.525
231,409.62
232,410.87
233,410.87
234,410.88
235,411.075
236,411.1
237,411.305
238,411.45
239,412.17
240,412.17
241,412.48
242,412.715
243,414.48
244,415.315
245,415.44
246,415.44
247,417.545
248,417.545
249,417.555
250,417.57
251,420.73
252,425.385
253,428.975
254,429.17
255,431.05
256,431.065
257,431.325
258,432.41
259,435.1
260,436.01
261,436.045
262,436.045
263,436.045
264,436.045
265,437.955
266,438.14
267,442.325
268,442.325
269,442.325
270,442.785
271,443.16
272,444.0
273,444.5
274,444.87
275,446.42
276,447.045
277,447.045
278,447.045
279,447.045
280,448.655
281,448.66
282,449.015
283,449.02
284,449.22
285,449.42
286,449.595
287,449.595
288,451.16
289,451.255
290,452.61
291,454.985
292,454.985
293,454.985
294,454.985
295,455.105
296,455.27
297,455.27
298,455.27
299,456.87
300,457.065
301,459.935
302,459.945
303,460.34
304,460.34
305,460.355
306,460.355
307,460.355
308,461.295
309,461.295
310,461.295
311,461.295
312,461.295
313,461.295
314,462.515
315,462.715
316,462.715
317,463.65
318,463.84
319,464.365
320,464.915
321,465.68
322,468.005
323,468.005
324,468.005
325,468.005
326,470.155
327,470.155
328,471.66
329,471.675
330,471.675
331,476.915
332,476.915
333,476.915
334,476.915
335,482.655
336,484.695
337,484.695
338,485.56
339,486.145
340,487.45
341,487.45
342,490.47
343,490.545
344,490.88
345,490.895
346,490.895
347,490.895
348,490.895
349,490.895
350,494.855
351,495.33
352,496.81
353,499.275
354,499.275
355,500.255
356,500.255
357,500.27
358,500.815
359,501.38
360,503.685
361,503.685
362,503.685
363,503.685
364,503.935
365,504.95
366,506.66
367,506.66
368,507.125
369,509.985
370,510.405
371,510.405
372,510.785
373,510.785
374,511.805
375,511.84
376,515.89
377,516.095
378,516.28
379,518.77
380,518.795
381,518.92
382,518.92
383,519.285
384,519.46
385,519.85
386,520.105
387,520.28
388,520.28
389,520.285
390,520.285
391,521.94
392,521.94
393,522.165
394,522.255
395,526.24
396,526.53
397,530.045
398,531.38
399,532.83
400,532.975
401,533.07
402,534.91
403,534.91
404,535.135
405,535.68
406,535.695
407,535.695
408,535.71
409,536.155
410,536.86
411,537.215
412,539.36
413,539.85
414,540.1
415,541.34
416,541.84
417,545.145
418,546.085
419,546.685
420,549.005
421,549.28
422,549.94
423,550.76
424,553.635
425,554.52
426,554.52
427,554.53
428,558.595
429,559.04
430,559.965
431,560.355
432,560.355
433,560.355
434,560.73
435,563.53
436,563.56
437,563.77
438,563.77
439,564.205
440,564.455
441,565.035
442,565.04
443,568.915
444,569.825
445,571.445
446,573.475
447,573.475
448,575.245
449,575.38
450,575.755
451,578.855
452,578.855
453,578.855
454,579.385
455,579.385
456,579.495
457,581.87
458,582.335
459,582.82
460,582.82
461,582.865
462,582.865
463,582.98
464,583.605
465,592.405
466,594.435
467,594.435
468,597.68
469,597.865
470,597.865
471,597.865
472,598.935
473,600.58
474,600.58
475,603.35
476,603.35
477,603.52
478,605.18
479,605.18
480,605.18
481,605.18
482,606.85
483,606.88
484,606.95
485,606.95
486,606.955
487,606.955
488,607.49
489,610.26
490,610.265
491,610.265
492,610.265
493,610.265
494,610.85
495,610.85
496,612.7
497,612.715
498,613.905
499,613.905
500,613.905
501,615.655
502,619.72
503,620.67
504,621.55
505,622.115
506,622.115
507,622.115
508,622.115
509,622.115
510,622.48
511,622.48
512,625.56
513,625.56
514,627.58
515,628.68
516,628.96
517,629.025
518,629.17
519,629.2
520,631.08
521,631.08
522,631.105
523,631.48
524,632.045
525,635.475
526,635.475
527,636.02
528,636.02
529,636.02
530,636.02
531,636.945
532,640.1
533,640.265
534,640.265
535,641.195
536,641.195
537,642.665
538,642.665
539,642.665
540,642.665
541,642.665
542,642.665
543,644.705
544,645.62
545,645.985
546,646.165
547,646.305
548,646.675
549,646.86
550,646.965
551,647.8
552,648.155
553,648.615
554,648.615
555,662.725
556,663.495
557,663.66
558,663.66
559,664.595
560,664.595
561,664.96
562,665.595
563,665.69
564,665.69
565,667.075
566,667.075
567,667.075
568,668.96
569,668.96
570,669.33
571,670.145
572,670.145
573,670.26
574,670.8
575,670.8
576,670.8
577,670.8
578,673.02
579,673.02
580,673.02
581,673.845
582,673.845
583,673.845
584,674.4
585,677.155
586,680.945
587,680.945
588,680.945
589,681.32
590,685.02
591,685.02
592,685.02
593,686.985
594,687.585
595,688.0
596,690.625
597,691.02
598,693.26
599,693.64
600,695.775
601,697.405
602,697.405
603,697.405
604,697.405
605,705.33
606,705.33
607,705.62
608,705.62
609,706.18
610,706.18
611,706.18
612,706.565
613,706.565
614,706.565
615,711.14
616,711.525
617,711.525
618,711.525
619,711.525
620,717.275
621,718.665
622,719.77
623,719.77
624,719.945
625,721.695
626,721.695
627,723.11
628,723.11
629,723.11
630,724.595
631,724.595
632,724.595
633,724.595
634,724.595
635,724.595
636,724.6
637,724.6
638,724.6
639,724.6
640,724.6
641,724.6
642,726.82
643,727.065
644,727.065
645,727.065
646,727.065
647,727.24
648,727.24
649,727.97
650,728.89
651,728.945
652,728.945
653,728.945
654,728.945
655,728.945
656,728.945
657,729.745
658,732.515
659,732.515
660,735.105
661,735.105
662,735.105
663,735.295
664,735.295
665,735.295
666,735.475
667,735.53
668,736.265
669,736.265
670,738.58
671,738.77
672,738.77
673,738.77
674,738.855
675,738.855
676,738.855
677,739.6
678,739.6
679,739.6
680,740.52
681,741.635
682,741.635
683,741.635
684,741.635
685,742.925
686,743.87
687,743.87
688,744.045
689,745.36
690,749.62
691,752.235
692,752.235
693,752.235
694,756.135
695,756.135
696,756.745
697,758.035
698,758.21
699,758.385
700,758.385
701,758.98
702,758.98
703,759.81
704,760.365
705,761.32
706,762.065
707,766.36
708,766.645
709,766.645
710,766.645
711,772.75
712,772.75
713,772.75
714,772.75
715,772.75
716,773.43
717,773.43
718,773.43
719,775.28
