generation,mean_fitness
0,33.18
1,35.63
2,40.77
3,43.8
4,50.19
5,54.75
6,61.89
7,68.29
8,72.42
9,76.77
10,79.13
11,81.75
12,84.89
13,87.68
14,90.14
15,92.03
16,93.06
17,94.05
18,94.38
19,98.8
20,102.94
21,104.26
22,104.95
23,105.7
24,106.03
25,107.21
26,107.98
27,108.94
28,109.88
29,111.11
30,111.97
31,112.83
32,113.8
33,114.23
34,114.45
35,115.5
36,115.5
37,115.93
38,115.99
39,117.7
40,117.89
41,118.54
42,119.02
43,119.02
44,119.06
45,119.22
46,119.73
47,120.45
48,120.5
49,120.5
50,121.14
51,121.24
52,121.48
53,121.73
54,121.73
55,121.73
56,121.76
57,121.81
58,121.81
59,121.82
60,121.91
61,121.91
62,121.91
63,121.99
64,121.99
65,121.99
66,122.02
67,122.07
68,122.42
69,122.42
70,122.45
71,122.46
72,122.69
73,123.01
74,123.28
75,123.39
76,123.43
77,123.43
78,123.73
79,123.73
80,124.11
81,124.11
82,124.41
83,124.44
84,124.44
85,124.68
86,124.68
87,124.68
88,124.71
89,124.79
90,124.79
91,124.86
92,125.53
93,125.53
94,126.14
95,126.45
96,126.45
97,126.5
98,126.5
99,126.5
