generation,mean_fitness
0,33.58
1,38.71
2,46.07
3,52.91
4,55.95
5,60.87
6,65.28
7,76.82
8,78.98
9,84.03
10,86.26
11,89.64
12,90.36
13,92.59
14,93.73
15,95.93
16,98.52
17,100.94
18,100.97
19,102.41
20,103.6
21,103.77
22,105.75
23,106.58
24,107.29
25,108.26
26,108.26
27,108.55
28,108.89
29,109.75
30,110.7
31,112.62
32,113.91
33,114.93
34,115.12
35,116.68
36,117.53
37,117.84
38,117.84
39,118.82
40,119.82
41,119.82
42,119.84
43,121.49
44,121.9
45,121.95
46,122.87
47,122.9
48,123.42
49,124.09
50,124.78
51,125.49
52,125.49
53,125.62
54,125.62
55,125.94
56,125.94
57,125.94
58,126.01
59,126.01
60,126.1
61,126.51
62,127.46
63,127.48
64,127.57
65,129.25
66,129.26
67,130.28
68,130.61
69,130.65
70,131.77
71,131.84
72,131.86
73,131.86
74,133.77
75,133.79
76,134.43
77,134.52
78,135.22
79,135.64
80,135.64
81,135.64
82,136.16
83,136.16
84,136.16
85,136.16
86,136.16
87,136.22
88,136.22
89,136.65
90,136.65
91,136.73
92,136.75
93,136.75
94,137.07
95,137.07
96,137.07
97,137.12
98,137.45
99,138.07
