generation,mean_fitness
0,37.99
1,46.15
2,53.84
3,59.35
4,63.14
5,65.99
6,68.68
7,76.19
8,83.19
9,87.04
10,94.95
11,98.49
12,98.54
13,100.72
14,102.37
15,103.83
16,105.28
17,107.77
18,107.81
19,108.16
20,109.44
21,110.4
22,113.84
23,114.81
24,115.74
25,115.9
26,116.75
27,117.46
28,117.74
29,119.61
30,119.71
31,120.2
32,120.72
33,121.71
34,122.26
35,122.28
36,123.04
37,123.48
38,124.06
39,125.43
40,125.47
41,126.54
42,126.64
43,126.68
44,126.68
45,126.68
46,126.68
47,126.69
48,126.76
49,126.96
50,127.69
51,127.69
52,127.76
53,127.79
54,127.94
55,127.97
56,127.97
57,128.08
58,128.08
59,129.16
60,129.43
61,129.46
62,129.82
63,130.15
64,130.75
65,130.84
66,131.15
67,131.21
68,132.01
69,132.3
70,132.34
71,132.34
72,132.36
73,132.6
74,133.29
75,133.32
76,133.35
77,133.36
78,133.37
79,133.37
80,133.42
81,133.42
82,133.83
83,133.89
84,133.98
85,133.98
86,134.82
87,135.04
88,135.06
89,135.33
90,135.33
91,135.62
92,135.64
93,135.64
94,135.64
95,136.13
96,136.13
97,136.2
98,136.22
99,136.22
