generation,mean_fitness
0,39.38
1,46.95
2,54.65
3,61.04
4,66.51
5,75.12
6,77.62
7,82.24
8,85.23
9,86.16
10,92.59
11,95.12
12,101.53
13,105.24
14,109.12
15,109.36
16,110.2
17,112.55
18,113.88
19,114.59
20,116.21
21,117.31
22,120.04
23,120.36
24,121.58
25,121.77
26,121.86
27,121.86
28,122.33
29,122.4
30,122.63
31,123.0
32,123.42
33,124.55
34,125.98
35,128.56
36,128.58
37,128.65
38,128.86
39,129.45
40,129.71
41,131.0
42,131.35
43,131.73
44,131.84
45,131.88
46,132.21
47,133.09
48,134.18
49,134.22
50,134.22
51,134.35
52,134.64
53,134.71
54,135.08
55,135.22
56,135.96
57,136.38
58,136.45
59,136.78
60,136.82
61,136.82
62,136.92
63,136.92
64,137.3
65,138.34
66,138.34
67,138.59
68,138.6
69,138.6
70,138.64
71,138.87
72,140.53
73,140.98
74,141.0
75,141.53
76,141.53
77,141.53
78,141.53
79,141.88
80,141.88
81,142.18
82,142.18
83,142.3
84,142.3
85,142.57
86,142.57
87,142.57
88,142.57
89,142.57
90,142.6
91,142.6
92,142.6
93,142.6
94,143.64
95,144.59
96,144.66
97,145.21
98,145.21
99,145.21
