generation,mean_fitness
0,38.7
1,43.81
2,48.65
3,54.37
4,60.66
5,66.15
6,72.61
7,76.59
8,80.55
9,88.95
10,91.4
11,93.99
12,100.25
13,101.15
14,105.3
15,108.65
16,111.06
17,113.01
18,116.46
19,123.14
20,124.71
21,127.38
22,128.63
23,130.11
24,131.06
25,132.73
26,137.37
27,139.21
28,145.74
29,148.06
30,152.46
31,153.77
32,154.07
33,157.97
34,158.78
35,159.89
36,159.9
37,161.49
38,163.84
39,164.53
40,166.3
41,169.38
42,169.66
43,173.14
44,173.14
45,180.68
46,186.26
47,191.98
48,194.61
49,195.3
50,197.29
51,199.42
52,205.76
53,207.58
54,212.0
55,215.41
56,216.21
57,216.48
58,217.21
59,217.94
60,219.21
61,219.24
62,219.79
63,221.16
64,221.83
65,227.12
66,228.13
67,228.75
68,234.74
69,234.81
70,237.32
71,240.45
72,243.76
73,244.33
74,246.23
75,247.57
76,249.16
77,249.79
78,253.38
79,253.74
80,262.38
81,265.56
82,267.02
83,269.17
84,269.17
85,269.17
86,269.93
87,270.41
88,272.14
89,272.49
90,272.77
91,273.37
92,274.02
93,274.12
94,274.9
95,276.22
96,277.03
97,280.54
98,281.63
99,282.9
100,283.19
101,288.01
102,289.58
103,290.0
104,291.48
105,296.0
106,298.16
107,299.55
108,302.26
109,305.22
110,305.91
111,307.31
112,308.44
113,311.7
114,313.41
115,316.33
116,318.02
117,320.29
118,331.91
119,332.31
120,332.87
121,338.83
122,346.32
123,350.96
124,352.47
125,354.22
126,359.44
127,364.36
128,364.8
129,365.74
130,367.74
131,376.55
132,383.3
133,383.69
134,389.02
135,397.48
136,400.03
137,403.24
138,412.36
139,416.66
140,419.28
141,421.1
142,421.68
143,422.12
144,428.01
145,438.79
146,441.01
147,442.11
148,443.95
149,445.99
150,459.08
151,461.16
152,463.54
153,466.48
154,479.27
155,491.3
156,501.13
157,508.56
158,512.46
159,518.09
160,521.59
161,531.48
162,537.12
163,543.68
164,557.82
165,557.82
166,581.75
167,588.41
168,588.96
169,599.3
170,601.45
171,605.52
172,617.39
173,633.07
174,633.22
175,639.71
176,648.77
177,650.95
178,656.28
179,666.3
180,669.13
181,670.96
182,675.74
183,677.17
184,693.04
185,693.04
186,693.41
187,697.43
188,710.41
189,711.6
190,719.98
191,729.77
192,730.89
193,730.89
194,731.84
195,731.84
196,735.16
197,744.24
198,749.5
199,765.96
200,768.18
201,773.59
202,777.52
203,780.99
204,781.95
205,785.98
206,789.65
207,793.42
208,801.26
209,804.22
210,816.72
211,833.44
212,846.16
213,846.54
214,855.92
215,868.47
216,874.24
217,874.24
218,876.22
219,886.58
220,886.81
221,889.72
222,889.99
223,891.57
224,897.44
225,899.82
226,908.31
227,917.54
228,923.61
229,925.67
230,930.63
231,932.84
232,933.58
233,938.18
234,942.41
235,949.62
236,952.15
237,952.26
238,953.47
239,975.71
240,977.48
241,985.93
242,989.61
243,991.61
244,993.85
245,1008.92
246,1013.64
247,1017.98
248,1019.48
249,1023.8
250,1033.73
251,1041.74
252,1054.27
253,1055.04
254,1055.41
255,1068.61
256,1070.86
257,1074.55
258,1074.55
259,1078.8
260,1081.09
261,1081.71
262,1094.1
263,1094.47
264,1098.94
265,1099.46
266,1108.73
267,1114.13
268,1114.13
269,1124.44
270,1125.93
271,1149.74
272,1150.81
273,1150.81
274,1158.45
275,1170.46
276,1173.34
277,1182.95
278,1182.95
279,1184.04
280,1185.97
281,1186.6
282,1193.46
283,1195.71
284,1195.71
285,1197.07
286,1197.18
287,1198.74
288,1204.88
289,1209.72
290,1209.72
291,1210.8
292,1210.8
293,1210.8
294,1210.8
295,1224.81
296,1230.37
297,1233.46
298,1234.53
299,1234.66
