generation,mean_fitness
0,32.66
1,32.75
2,33.64
3,33.74
4,36.2
5,40.71
6,42.29
7,46.95
8,56.66
9,64.55
10,68.18
11,85.73
12,91.31
13,95.29
14,96.64
15,100.65
16,105.91
17,108.89
18,144.81
19,167.24
20,170.91
21,182.0
22,187.31
23,193.5
24,239.18
25,245.17
26,254.33
27,285.83
28,287.46
29,289.77
30,292.18
31,292.66
32,294.61
33,295.89
34,297.58
35,300.13
36,301.01
37,301.92
38,302.27
39,303.08
40,303.38
41,384.56
42,385.89
43,406.79
44,463.4
45,464.19
46,564.92
47,568.99
48,577.64
49,578.62
50,604.38
51,606.43
52,608.01
53,616.66
54,625.87
55,631.83
56,633.05
57,655.37
58,665.03
59,681.64
60,683.78
61,685.89
62,706.48
63,706.5
64,706.75
65,739.49
66,739.85
67,792.47
68,797.74
69,798.74
70,799.45
71,830.62
72,832.93
73,833.07
74,833.42
75,834.07
76,844.1
77,844.43
78,845.12
79,880.74
80,881.03
81,884.49
82,884.91
83,937.57
84,987.74
85,990.51
86,993.81
87,994.26
88,994.26
89,1037.23
90,1037.29
91,1039.79
92,1057.47
93,1138.58
94,1152.44
95,1153.1
96,1246.65
97,1297.45
98,1360.72
99,1515.84
