generation,mean_fitness
0,36.88
1,43.83
2,47.88
3,54.02
4,61.04
5,66.04
6,125.07
7,184.44
8,191.59
9,195.56
10,201.69
11,203.2
12,259.51
13,263.07
14,266.48
15,268.39
16,279.65
17,281.94
18,283.15
19,301.33
20,302.58
21,302.95
22,304.58
23,310.49
24,310.62
25,311.53
26,311.79
27,312.08
28,312.71
29,315.67
30,315.67
31,337.12
32,358.55
33,358.87
34,359.45
35,415.12
36,415.6
37,416.23
38,416.47
39,418.0
40,428.35
41,437.3
42,493.11
43,501.38
44,501.52
45,502.76
46,502.87
47,513.3
48,517.07
49,517.12
50,519.0
51,519.77
52,520.12
53,521.07
54,521.43
55,521.43
56,526.53
57,527.29
58,527.29
59,527.29
60,527.3
61,562.05
62,562.14
63,562.14
64,651.71
65,651.99
66,652.26
67,653.24
68,653.24
69,653.24
70,653.24
71,655.26
72,655.3
73,657.5
74,660.69
75,663.56
76,663.58
77,663.58
78,665.81
79,666.17
80,666.17
81,666.17
82,667.07
83,667.07
84,667.07
85,721.86
86,722.48
87,722.48
88,729.76
89,741.59
90,741.59
91,741.63
92,741.63
93,741.64
94,742.26
95,743.6
96,754.99
97,797.41
98,797.41
99,797.41
