generation,mean_fitness
0,34.33
1,42.58
2,47.79
3,57.72
4,70.27
5,72.97
6,75.55
7,80.47
8,83.45
9,111.61
10,146.79
11,150.36
12,210.1
13,233.58
14,298.33
15,307.95
16,309.53
17,375.06
18,428.7
19,430.11
20,594.75
21,601.55
22,604.71
23,606.66
24,609.81
25,610.85
26,622.23
27,766.2
28,780.47
29,833.2
30,851.26
31,852.35
32,855.42
33,927.18
34,928.01
35,956.55
36,970.84
37,978.78
38,993.94
39,997.42
40,1000.05
41,1059.56
42,1159.57
43,1287.19
44,1342.03
45,1399.76
46,1420.08
47,1430.97
48,1495.14
49,1551.96
50,1553.08
51,1562.75
52,1633.79
53,1641.59
54,1684.63
55,1774.09
56,1790.02
57,1858.24
58,1941.37
59,2004.19
60,2023.12
61,2025.66
62,2064.07
63,2176.66
64,2228.53
65,2340.74
66,2350.29
67,2391.75
68,2391.91
69,2437.64
70,2455.99
71,2487.07
72,2655.84
73,2662.59
74,2711.78
75,2746.11
76,2865.88
77,2965.36
78,2972.46
79,3018.71
80,3107.78
81,3145.99
82,3169.94
83,3330.32
84,3330.32
85,3392.08
86,3546.72
87,3577.48
88,3593.15
89,3759.63
90,3760.74
91,3868.51
92,3969.27
93,3977.64
94,4064.52
95,4089.33
96,4103.17
97,4164.88
98,4220.82
99,4271.88
