generation,mean_fitness
0,38.51
1,46.77
2,54.86
3,58.73
4,66.14
5,71.88
6,78.13
7,83.21
8,86.66
9,90.84
10,95.66
11,99.63
12,102.26
13,105.72
14,106.42
15,108.01
16,108.76
17,111.99
18,112.72
19,114.81
20,116.33
21,117.22
22,117.95
23,120.61
24,121.75
25,121.81
26,123.2
27,124.87
28,125.56
29,125.67
30,126.17
31,130.53
32,130.97
33,132.62
34,132.7
35,132.7
36,190.59
37,191.07
38,191.58
39,191.59
40,193.55
41,193.55
42,194.37
43,195.12
44,195.53
45,199.85
46,207.49
47,207.8
48,207.85
49,208.17
50,209.05
51,264.19
52,264.19
53,264.48
54,264.48
55,264.61
56,264.9
57,265.19
58,265.46
59,266.05
60,266.28
61,267.29
62,267.36
63,267.61
64,268.08
65,268.08
66,268.09
67,268.09
68,268.73
69,272.61
70,272.97
71,273.04
72,320.39
73,320.39
74,320.39
75,320.57
76,320.57
77,323.63
78,323.63
79,323.85
80,323.91
81,323.97
82,325.5
83,326.85
84,326.89
85,326.93
86,327.15
87,327.15
88,327.43
89,327.46
90,328.15
91,329.55
92,329.63
93,329.63
94,330.0
95,330.0
96,330.0
97,330.0
98,330.0
99,330.33
