generation,mean_fitness
0,34.21
1,40.22
2,53.03
3,57.68
4,75.29
5,93.92
6,107.38
7,125.37
8,128.24
9,137.26
10,141.77
11,181.23
12,187.49
13,192.94
14,201.14
15,203.93
16,204.98
17,221.58
18,225.12
19,228.41
20,277.98
21,282.33
22,302.75
23,356.93
24,357.54
25,358.52
26,403.98
27,407.44
28,435.91
29,436.94
30,498.08
31,543.34
32,546.24
33,593.64
34,595.3
35,599.64
36,599.74
37,655.39
38,659.8
39,672.67
40,729.49
41,729.89
42,730.06
43,730.28
44,849.83
45,850.82
46,856.44
47,861.15
48,917.03
49,919.14
50,957.8
51,1022.48
52,1023.0
53,1025.69
54,1026.85
55,1037.4
56,1138.1
57,1141.48
58,1142.25
59,1150.18
60,1264.2
61,1264.22
62,1270.63
63,1271.05
64,1271.79
65,1327.28
66,1336.94
67,1349.89
68,1351.35
69,1449.28
70,1455.29
71,1510.51
72,1580.51
73,1600.09
74,1600.32
75,1711.22
76,1765.26
77,1770.41
78,1770.41
79,1879.93
80,1879.93
81,1880.49
82,1938.27
83,1996.5
84,1996.5
85,2072.39
86,2159.48
87,2168.33
88,2193.29
89,2207.78
90,2238.04
91,2294.92
92,2412.08
93,2417.85
94,2431.82
95,2434.47
96,2435.22
97,2435.24
98,2440.02
99,2440.5
