generation,mean_fitness
0,41.04
1,49.0
2,54.51
3,59.29
4,119.55
5,125.32
6,126.9
7,130.22
8,133.65
9,143.73
10,149.77
11,157.4
12,164.17
13,221.88
14,281.67
15,296.39
16,300.6
17,301.77
18,305.69
19,313.5
20,358.49
21,385.69
22,460.31
23,501.87
24,556.35
25,586.26
26,645.19
27,703.59
28,761.69
29,782.19
30,829.29
31,902.26
32,906.44
33,1054.75
34,1137.49
35,1140.86
36,1141.04
37,1198.16
38,1239.59
39,1459.35
40,1537.2
41,1537.26
42,1538.52
43,1543.25
44,1544.26
45,1544.5
46,1555.76
47,1590.92
48,1752.57
49,1804.53
50,1825.33
51,1976.08
52,1976.09
53,2040.49
54,2092.95
55,2205.49
56,2313.41
57,2402.61
58,2445.71
59,2451.39
60,2509.85
61,2512.82
62,2512.89
63,2551.94
64,2556.62
65,2570.62
66,2620.41
67,2620.74
68,2690.5
69,2690.51
70,2801.28
71,2831.36
72,2853.6
73,2854.21
74,2856.74
75,2963.67
76,2963.67
77,3010.74
78,3127.39
79,3152.99
80,3214.83
81,3336.6
82,3391.77
83,3392.68
84,3453.2
85,3483.05
86,3536.37
87,3536.37
88,3590.2
89,3623.63
90,3663.14
91,3664.38
92,3726.39
93,3801.2
94,3838.24
95,3849.34
96,3969.26
97,4000.42
98,4048.84
99,4106.62
