generation,mean_fitness
0,31.87
1,34.16
2,36.58
3,38.7
4,40.85
5,47.94
6,53.93
7,64.21
8,66.1
9,72.76
10,77.18
11,87.69
12,93.61
13,189.27
14,193.59
15,196.33
16,198.34
17,201.8
18,207.09
19,209.41
20,210.97
21,211.95
22,213.64
23,215.29
24,217.08
25,219.08
26,220.15
27,220.72
28,221.03
29,223.39
30,223.79
31,224.62
32,280.65
33,282.31
34,282.45
35,288.32
36,288.38
37,288.38
38,289.81
39,346.59
40,346.86
41,348.28
42,348.6
43,349.74
44,350.87
45,351.23
46,351.35
47,351.38
48,407.1
49,413.14
50,414.24
51,414.3
52,414.57
53,422.16
54,424.82
55,424.85
56,424.87
57,424.89
58,425.27
59,436.25
60,436.38
61,437.96
62,438.11
63,438.11
64,438.47
65,438.47
66,439.8
67,439.8
68,439.8
69,439.8
70,439.81
71,439.93
72,444.29
73,445.58
74,445.59
75,445.93
76,445.98
77,445.98
78,446.14
79,446.98
80,446.98
81,447.31
82,447.31
83,502.81
84,503.5
85,503.51
86,503.54
87,503.94
88,504.01
89,504.03
90,505.11
91,505.34
92,505.34
93,506.11
94,506.11
95,507.55
96,510.2
97,510.21
98,510.21
99,510.21
100,510.21
101,511.82
102,517.92
103,518.15
104,518.2
105,521.54
106,521.54
107,523.41
108,573.32
109,574.0
110,574.48
111,574.48
112,574.48
113,574.48
114,574.48
115,574.92
116,574.92
117,576.62
118,576.62
119,577.32
120,577.32
121,586.74
122,586.74
123,587.12
124,595.87
125,595.94
126,596.6
127,596.6
128,597.75
129,597.75
130,597.75
131,601.44
132,601.44
133,603.54
134,603.8
135,604.52
136,604.52
137,604.52
138,655.73
139,656.14
140,656.14
141,656.14
142,656.14
143,656.14
144,656.14
145,656.14
146,656.4
147,658.38
148,658.38
149,658.38
150,658.38
151,658.38
152,659.26
153,659.26
154,659.26
155,714.72
156,714.73
157,714.98
158,714.98
159,716.46
160,716.46
161,717.7
162,717.7
163,717.74
164,718.71
165,719.25
166,719.25
167,719.25
168,719.25
169,720.8
170,722.16
171,777.46
172,777.46
173,777.46
174,777.46
175,777.46
176,777.46
177,777.46
178,832.14
179,832.34
180,832.34
181,832.51
182,833.63
183,833.73
184,833.73
185,833.73
186,833.73
187,833.73
188,833.73
189,836.33
190,836.64
191,836.64
192,836.64
193,836.64
194,836.64
195,836.64
196,836.64
197,889.98
198,891.32
199,891.32
200,892.86
201,893.0
202,893.0
203,893.0
204,893.0
205,893.0
206,893.0
207,893.0
208,947.43
209,947.43
210,947.43
211,947.43
212,947.43
213,947.43
214,948.83
215,948.89
216,948.89
217,948.89
218,948.89
219,948.89
220,948.89
221,948.89
222,948.89
223,948.89
224,948.89
225,948.89
226,948.89
227,948.89
228,948.89
229,949.2
230,949.2
231,949.2
232,950.48
233,950.9
234,950.9
235,950.9
236,950.9
237,950.9
238,950.9
239,951.29
240,951.29
241,951.29
242,951.29
243,951.29
244,951.29
245,952.3
246,952.3
247,952.3
248,952.3
249,952.3
250,952.3
251,952.3
252,952.3
253,952.3
254,952.72
255,952.72
256,953.49
257,953.49
258,953.49
259,953.49
260,956.37
261,956.37
262,957.22
263,957.22
264,958.69
265,958.69
266,958.69
267,964.88
268,964.88
269,964.88
270,964.88
271,964.88
272,964.88
273,964.88
274,964.88
275,964.88
276,964.88
277,964.88
278,1019.66
279,1019.66
280,1019.66
281,1019.66
282,1019.66
283,1019.66
284,1019.66
285,1019.66
286,1019.66
287,1019.66
288,1019.66
289,1021.52
290,1042.75
291,1042.75
292,1042.75
293,1042.75
294,1042.75
295,1042.75
296,1075.52
297,1075.52
298,1075.52
299,1075.95
