generation,mean_fitness
0,35.86
1,99.33
2,107.07
3,111.28
4,115.86
5,121.56
6,125.73
7,131.71
8,195.85
9,199.68
10,258.1
11,263.43
12,266.59
13,268.38
14,272.21
15,272.64
16,272.99
17,274.64
18,277.61
19,278.52
20,280.68
21,284.87
22,285.78
23,286.17
24,288.02
25,288.12
26,289.27
27,290.21
28,345.37
29,356.18
30,357.19
31,358.04
32,358.85
33,361.54
34,363.63
35,366.08
36,367.24
37,367.66
38,369.91
39,370.98
40,371.07
41,371.4
42,371.47
43,371.84
44,371.91
45,372.12
46,372.4
47,374.28
48,374.35
49,377.05
50,377.06
51,378.0
52,378.88
53,378.95
54,379.1
55,389.13
56,389.13
57,389.22
58,389.45
59,389.71
60,389.73
61,389.73
62,389.74
63,389.74
64,389.74
65,389.74
66,392.07
67,392.73
68,393.06
69,393.06
70,393.06
71,393.08
72,393.33
73,393.66
74,393.66
75,405.25
76,405.31
77,405.31
78,405.31
79,405.32
80,405.32
81,405.7
82,405.7
83,405.7
84,405.7
85,405.7
86,405.7
87,411.39
88,412.09
89,412.15
90,412.22
91,412.22
92,467.14
93,467.14
94,467.15
95,467.15
96,522.35
97,522.6
98,522.6
99,522.89
100,523.12
101,523.12
102,523.12
103,523.12
104,523.47
105,523.72
106,524.34
107,526.26
108,579.98
109,580.25
110,585.37
111,585.6
112,587.05
113,587.05
114,587.08
115,587.33
116,587.92
117,587.96
118,588.24
119,588.36
120,588.38
121,589.44
122,589.44
123,589.44
124,589.71
125,590.04
126,590.04
127,590.04
128,590.11
129,590.17
130,590.17
131,590.17
132,590.17
133,590.17
134,590.17
135,590.17
136,592.22
137,598.17
138,598.17
139,598.17
140,598.18
141,598.18
142,598.87
143,599.08
144,599.08
145,599.09
146,600.09
147,600.09
148,600.09
149,600.09
150,600.09
151,600.09
152,600.13
153,600.13
154,601.13
155,601.13
156,601.13
157,601.13
158,601.13
159,602.68
160,602.68
161,602.68
162,602.7
163,602.85
164,615.86
165,615.86
166,615.86
167,616.63
168,616.89
169,616.9
170,617.38
171,617.38
172,617.44
173,617.44
174,617.44
175,617.44
176,617.44
177,619.08
178,619.08
179,619.08
180,619.08
181,619.08
182,619.08
183,619.08
184,619.08
185,620.16
186,620.19
187,620.19
188,620.19
189,620.22
190,620.26
191,620.26
192,620.26
193,620.26
194,620.26
195,620.26
196,620.26
197,620.26
198,620.26
199,625.38
200,626.61
201,626.78
202,626.78
203,627.15
204,627.15
205,627.15
206,627.15
207,629.0
208,629.0
209,629.0
210,629.0
211,629.0
212,629.0
213,629.0
214,629.0
215,629.0
216,629.66
217,629.71
218,629.71
219,629.71
220,629.71
221,685.16
222,685.16
223,685.16
224,685.16
225,685.16
226,685.16
227,686.4
228,686.4
229,686.4
230,686.5
231,686.5
232,686.5
233,686.52
234,686.52
235,686.52
236,737.89
237,737.95
238,737.95
239,737.95
240,737.95
241,793.02
242,793.02
243,795.25
244,795.25
245,795.25
246,795.25
247,795.74
248,795.74
249,795.74
250,796.19
251,796.59
252,800.6
253,800.93
254,800.93
255,800.93
256,800.93
257,800.93
258,802.1
259,802.1
260,802.11
261,802.11
262,802.11
263,802.21
264,802.21
265,802.21
266,802.21
267,802.21
268,802.21
269,802.21
270,802.21
271,802.21
272,802.21
273,802.21
274,802.21
275,802.21
276,802.21
277,802.21
278,802.84
279,802.85
280,802.85
281,803.87
282,803.87
283,803.87
284,803.87
285,803.87
286,803.87
287,803.87
288,804.0
289,804.0
290,804.0
291,804.0
292,804.0
293,804.0
294,804.0
295,804.28
296,804.28
297,804.4
298,804.4
299,804.44
