generation,best_fitness,mean_fitness,median_fitness
0,31,31.0,31.0
1,31,31.0,31.0
2,31,31.0,31.0
3,31,31.0,31.0
4,31,31.0,31.0
5,31,31.0,31.0
6,31,31.0,31.0
7,31,31.0,31.0
8,31,31.0,31.0
9,31,31.0,31.0
10,31,31.0,31.0
11,31,31.0,31.0
12,31,31.0,31.0
13,31,31.0,31.0
14,31,31.0,31.0
15,31,31.0,31.0
16,31,31.0,31.0
17,31,31.0,31.0
18,31,31.0,31.0
19,31,31.0,31.0
20,31,31.0,31.0
21,31,31.0,31.0
22,31,31.0,31.0
23,31,31.0,31.0
24,31,31.0,31.0
25,31,31.0,31.0
26,31,31.0,31.0
27,31,31.0,31.0
28,31,31.0,31.0
29,31,31.0,31.0
30,31,31.0,31.0
31,31,31.0,31.0
32,31,31.0,31.0
33,60,31.29,31.0
34,75,32.49,31.0
35,100,40.47,31.0
36,100,61.36,60.0
37,254,79.57,75.0
38,5659,166.95,100.0
39,5659,372.87,219.0
40,5659,924.66,219.5
41,5659,2605.2,253.5
42,5659,2747.06,219.0
43,5659,3199.1,5659.0
44,5659,2690.09,100.0
45,5659,3249.12,5659.0
46,5659,3529.29,5659.0
47,5659,3641.16,5659.0
48,5659,3589.78,5659.0
49,5659,3695.83,5659.0
50,5659,3588.23,5659.0
51,5659,3979.42,5659.0
52,5659,3248.79,5659.0
53,5659,3475.36,5659.0
54,5659,3251.58,5659.0
55,5659,3361.31,5659.0
56,5659,3759.73,5659.0
57,5659,3644.98,5659.0
58,5659,3640.2,5659.0
59,5659,3758.61,5659.0
60,5659,3864.64,5659.0
61,5659,3529.51,5659.0
62,5659,3583.2,5659.0
63,5659,3922.53,5659.0
64,5659,3640.91,5659.0
65,5659,3357.47,5659.0
66,5659,3307.17,5659.0
67,5659,3421.99,5659.0
68,5659,3029.1,5659.0
69,5659,3865.7,5659.0
70,5659,3699.2,5659.0
71,5659,3695.64,5659.0
72,5659,3366.87,5659.0
73,5659,3478.91,5659.0
74,5659,3756.13,5659.0
75,5659,3193.81,5659.0
76,5659,3198.91,5659.0
77,5659,3979.72,5659.0
78,5659,3365.85,5659.0
79,5659,3752.17,5659.0
80,5659,3418.15,5659.0
81,5659,3370.09,5659.0
82,5659,3812.09,5659.0
83,5659,3585.19,5659.0
84,5659,3756.88,5659.0
85,5659,3251.66,5659.0
86,5659,3585.05,5659.0
87,5659,3361.43,5659.0
88,5659,3530.6,5659.0
89,5659,3364.79,5659.0
90,5659,3358.66,5659.0
91,5659,3585.46,5659.0
92,5659,3418.04,5659.0
93,5659,3535.72,5659.0
94,5659,4315.66,5659.0
95,5659,3696.21,5659.0
96,5659,3417.27,5659.0
97,5659,3644.84,5659.0
98,5659,3926.25,5659.0
99,5659,2968.98,5659.0
