generation,best_fitness,mean_fitness,median_fitness
0,31,31.0,31.0
1,31,31.0,31.0
2,31,31.0,31.0
3,31,31.0,31.0
4,31,31.0,31.0
5,54,31.23,31.0
6,60,31.81,31.0
7,75,36.75,31.0
8,75,52.17,54.0
9,100,59.97,67.0
10,114,64.15,75.0
11,148,67.32,75.0
12,149,72.71,75.0
13,174,67.74,71.0
14,150,63.47,31.0
15,210,70.18,80.0
16,177,69.57,85.0
17,187,77.35,100.0
18,210,71.19,71.0
19,186,77.59,100.0
20,173,77.9,100.0
21,284,74.62,80.0
22,188,75.94,100.0
23,149,74.97,100.0
24,210,84.64,100.0
25,188,75.02,100.0
26,173,78.9,100.0
27,264,75.64,100.0
28,265,78.31,100.0
29,185,79.07,100.0
30,210,74.84,100.0
31,189,84.7,100.0
32,174,80.87,100.0
33,173,80.67,100.0
34,210,81.79,100.0
35,148,77.42,100.0
36,175,78.7,100.0
37,322,82.08,100.0
38,220,88.83,100.0
39,342,99.27,100.0
40,217,85.29,100.0
41,477,93.59,100.0
42,1411,118.93,100.0
43,1079,129.97,100.0
44,1228,138.46,100.0
45,1524,181.73,102.5
46,1041,143.62,101.0
47,1436,168.91,101.5
48,931,203.92,113.5
49,1560,284.14,112.0
50,1745,227.18,112.0
51,1115,255.51,105.5
52,1378,276.8,112.0
53,1338,273.48,111.0
54,2634,398.43,170.5
55,1929,309.53,110.0
56,1264,273.17,110.5
57,1746,309.77,137.5
58,1559,267.96,112.5
59,1302,249.03,106.0
60,1340,274.73,112.5
61,1524,242.68,100.5
62,1488,292.02,112.5
63,1523,270.25,109.5
64,2226,286.69,103.0
65,1468,303.54,114.5
66,1635,299.17,114.0
67,1598,248.66,102.0
68,1190,228.63,109.0
69,1970,287.98,110.0
70,1931,264.01,102.5
71,1304,229.07,105.5
72,1672,299.19,110.0
73,1413,283.96,112.5
74,1227,232.71,110.0
75,1487,313.41,111.0
76,1336,284.1,112.0
77,1264,269.52,105.0
78,1338,260.93,109.5
79,1228,281.33,110.0
80,1672,308.36,128.0
81,1633,285.61,113.5
82,2708,256.93,106.0
83,2448,307.92,114.0
84,1301,279.55,113.0
85,3596,321.76,112.0
86,1559,230.1,106.0
87,1080,326.23,114.0
88,1486,320.25,114.0
89,1782,246.41,107.5
90,1226,296.62,114.0
91,1672,251.76,111.0
92,1452,265.92,114.0
93,1412,297.51,136.0
94,1524,300.46,113.5
95,1041,248.69,113.0
96,1930,304.76,150.5
97,1781,287.37,112.0
98,1190,283.19,110.5
99,1155,217.41,103.0
100,1561,246.91,112.0
101,1301,279.43,106.0
102,1821,260.02,113.5
103,2080,291.02,114.0
104,1263,229.85,111.0
105,1227,229.09,110.0
106,1412,250.13,111.0
107,1079,229.59,106.0
108,2154,245.29,101.0
109,2043,321.7,110.5
110,1895,269.7,109.5
111,1263,331.18,113.0
112,1672,259.54,113.5
113,1339,275.7,109.0
114,1487,325.1,112.5
115,1153,248.79,101.5
116,1597,324.39,116.0
117,1005,247.28,108.0
118,1375,292.31,115.0
119,1301,256.43,113.0
120,2003,340.62,152.0
121,1042,214.52,108.5
122,1377,248.43,107.5
123,2189,263.49,108.5
124,1005,242.04,109.5
125,1598,255.95,108.5
126,1152,242.04,114.0
127,1303,282.28,116.0
128,1171,238.03,111.5
129,893,249.12,107.5
130,1486,235.68,110.5
131,1524,277.44,108.5
132,1560,282.51,112.0
133,1007,275.79,136.5
