generation,best_fitness,mean_fitness,median_fitness
0,31,31.0,31.0
1,31,30.99,31.0
2,31,31.0,31.0
3,111,31.8,31.0
4,112,37.3,31.0
5,113,50.24,31.0
6,114,66.99,31.0
7,113,65.46,31.0
8,5659,127.91,100.0
9,452,71.39,31.0
10,1674,87.36,100.0
11,177,73.96,100.0
12,145,68.27,31.0
13,190,74.48,100.0
14,183,68.35,31.0
15,283,73.24,40.0
16,473,78.47,31.0
17,658,81.99,31.0
18,917,97.98,95.5
19,1172,91.95,49.0
20,1064,101.24752475247524,100
21,1730,106.32,91.5
22,1135,94.52,45.5
23,331,83.09,67.0
24,622,112.62,100.0
25,432,86.74,100.0
26,397,82.06060606060606,75
27,545,77.13,31.0
28,511,83.65656565656566,75
29,1634,99.71,73.0
30,489,80.03960396039604,60
31,325,66.21,31.0
32,251,62.64356435643565,31
33,476,87.94,100.0
34,667,90.11,71.0
35,520,80.92079207920793,31
36,1509,111.16831683168317,100
37,2707,167.59,85.0
38,5659,381.42,100.0
39,5659,386.5,67.0
40,5659,618.35,100.0
41,5659,714.15,31.0
42,5659,945.56,31.0
43,5659,907.16,31.0
44,5659,1348.78,31.0
45,5659,1093.22,31.0
46,5659,917.05,31.0
47,5659,1361.68,113.5
48,5659,1025.06,31.0
49,5659,1140.6,31.0
50,5659,1276.61,31.0
51,5659,1442.35,31.0
52,5659,801.95,31.0
53,5659,928.65,51.5
54,5659,1040.35,31.0
55,5659,990.19,31.0
56,5659,894.62,31.0
57,5659,893.7,47.0
58,5659,736.84,31.0
59,5659,575.15,31.0
60,5659,818.85,31.0
61,5659,657.76,35.0
62,5659,721.28,31.0
63,5659,810.23,31.0
64,5659,891.7326732673267,54
65,5659,1290.11,31.5
66,5659,957.63,31.0
67,5659,1230.92,42.0
68,5659,906.0693069306931,31
69,5659,1454.09,31.0
70,5659,876.66,31.0
71,5659,1548.84,100.0
72,5659,1540.76,110.0
73,5659,1356.23,31.0
74,5659,1474.72,31.0
75,5659,1295.56,39.0
76,5659,1206.14,35.0
77,5659,1230.37,35.0
78,5659,1414.5959595959596,31
79,5659,1415.1782178217823,44
80,5659,1239.37,31.0
81,5659,1429.87,75.0
82,5659,964.020202020202,31
83,5659,1655.4455445544554,31
84,5659,1300.75,38.0
85,5659,1104.3564356435643,31
86,5659,1415.5,102.5
87,5659,1500.42,31.0
88,5659,1187.2424242424242,34
89,5659,1178.67,31.0
90,5659,1474.66,48.0
91,5659,1730.08,100.0
92,5659,1538.930693069307,31
93,5659,1124.55,31.0
94,5659,1011.99,31.0
95,5659,1228.33,57.0
96,5659,1198.36,31.0
97,5659,795.4752475247525,31
98,5659,1179.48,80.0
99,5659,1464.4,60.0
